FJ151394	FJ151394_USA_NY_1999-08-01_NY99
KJ501451	KJ501451_USA_PA_2003-08-28_WN02
KJ501324	KJ501324_USA_MN_2003-08-29_SW03
KJ501382	KJ501382_USA_MN_2003-08-29_WN02
KJ501305	KJ501305_USA_MD_2003-09-01_WN02
KJ501314	KJ501314_USA_DC_2003-09-01_WN02
KJ501340	KJ501340_USA_AL_2003-09-01_WN02
HM488221	HM488221_USA_CT_2003-09-03_WN02
KX547550	KX547550_USA_NY_2003-09-04_WN02
KX547526	KX547526_USA_NY_2003-09-05_WN02
KJ501360	KJ501360_USA_NC_2003-09-05_WN02
KJ501312	KJ501312_USA_VA_2003-09-08_WN02
KJ501348	KJ501348_USA_NM_2003-09-09_SW03
KX547241	KX547241_USA_NY_2003-09-09_WN02
HM756654	HM756654_USA_CT_2003-09-09_WN02
HM488222	HM488222_USA_CT_2003-09-09_WN02
KX547409	KX547409_USA_NY_2003-09-10_WN02
HM488224	HM488224_USA_CT_2003-09-11_WN02
HM488223	HM488223_USA_CT_2003-09-11_WN02
KJ501280	KJ501280_USA_PA_2003-09-11_WN02
KJ501320	KJ501320_USA_MD_2003-09-11_WN02
KJ501365	KJ501365_USA_PA_2003-09-11_WN02
KJ501460	KJ501460_USA_DC_2003-09-11_WN02
HM488229	HM488229_USA_CT_2003-09-15_WN02
HM488228	HM488228_USA_CT_2003-09-15_WN02
HM488227	HM488227_USA_CT_2003-09-15_WN02
HM488226	HM488226_USA_CT_2003-09-15_WN02
HM488225	HM488225_USA_CT_2003-09-15_WN02
HM488141	HM488141_USA_CT_2003-09-16_WN02
HM488230	HM488230_USA_CT_2003-09-16_WN02
KR348927	KR348927_USA_CA_2003-09-16_WN02
KJ501107	KJ501107_USA_CA_2003-09-16_WN02
KJ501271	KJ501271_USA_NJ_2003-09-16_WN02
KJ501359	KJ501359_USA_NJ_2003-09-16_WN02
KJ501446	KJ501446_USA_NJ_2003-09-16_WN02
HM756656	HM756656_USA_CT_2003-09-17_WN02
HM488234	HM488234_USA_CT_2003-09-17_WN02
HM488233	HM488233_USA_CT_2003-09-17_WN02
HM488232	HM488232_USA_CT_2003-09-17_WN02
HM488231	HM488231_USA_CT_2003-09-17_WN02
KX547480	KX547480_USA_NY_2003-09-22_WN02
KX547458	KX547458_USA_NY_2003-09-22_WN02
KJ501366	KJ501366_USA_PA_2003-09-22_WN02
KX547170	KX547170_USA_NY_2003-09-23_WN02
KX547181	KX547181_USA_NY_2003-09-24_WN02
HM488235	HM488235_USA_CT_2003-09-24_WN02
KJ501354	KJ501354_USA_OK_2003-09-25_SW03
KX547618	KX547618_USA_NY_2003-09-25_WN02
KX547609	KX547609_USA_NY_2003-09-25_WN02
KX547311	KX547311_USA_NY_2003-09-25_WN02
KX547248	KX547248_USA_NY_2003-09-26_WN02
KJ501457	KJ501457_USA_MA_2003-09-26_WN02
KX547593	KX547593_USA_NY_2003-09-28_WN02
KX547287	KX547287_USA_NY_2003-09-29_WN02
KX547267	KX547267_USA_NY_2003-09-29_WN02
KJ501506	KJ501506_USA_OK_2003-09-30_WN02
KX547212	KX547212_USA_NY_2003-09-30_WN02
HM756657	HM756657_USA_CT_2003-10-01_WN02
KJ501293	KJ501293_USA_MD_2003-10-02_NY99
KJ501499	KJ501499_USA_MD_2003-10-02_WN02
KX547549	KX547549_USA_NY_2003-10-02_WN02
KX547244	KX547244_USA_NY_2003-10-02_WN02
KX547422	KX547422_USA_NY_2003-10-03_WN02
KX547381	KX547381_USA_NY_2003-10-03_WN02
KX547354	KX547354_USA_NY_2003-10-03_WN02
HM488139	HM488139_USA_CT_2003-10-07_WN02
HM756658	HM756658_USA_CT_2003-10-07_WN02
HM756659	HM756659_USA_CT_2003-10-08_WN02
KJ501372	KJ501372_USA_FL_2003-10-09_WN02
KJ501272	KJ501272_USA_NC_2003-10-10_WN02
HM488236	HM488236_USA_CT_2003-10-15_WN02
KX547166	KX547166_USA_NY_2003-10-28_WN02
KR348975	KR348975_USA_CA_2004-03-08_SW03
KR348974	KR348974_USA_CA_2004-03-08_WN02
KR348943	KR348943_USA_CA_2004-04-14_WN02
KJ501123	KJ501123_USA_CA_2004-04-14_WN02
KR348945	KR348945_USA_CA_2004-04-28_WN02
KJ501125	KJ501125_USA_CA_2004-04-28_WN02
KX547296	KX547296_USA_NY_2004-05-11_WN02
KR348951	KR348951_USA_CA_2004-05-17_WN02
KJ501131	KJ501131_USA_CA_2004-05-17_WN02
KX547533	KX547533_USA_NY_2004-05-20_WN02
KX547403	KX547403_USA_NY_2004-05-20_WN02
KX547312	KX547312_USA_NY_2004-05-20_WN02
W114	W114_USA_CA_2004-05-28_WN02
KX547253	KX547253_USA_NY_2004-05-30_WN02
KX547536	KX547536_USA_NY_2004-06-01_WN02
KX547583	KX547583_USA_NY_2004-06-04_WN02
KX547281	KX547281_USA_NY_2004-06-04_WN02
KX547542	KX547542_USA_NY_2004-06-07_WN02
KX547446	KX547446_USA_NY_2004-06-07_WN02
KX547346	KX547346_USA_NY_2004-06-18_WN02
KX547427	KX547427_USA_NY_2004-06-22_WN02
KX547462	KX547462_USA_NY_2004-06-29_SW03
JF703161	JF703161_USA_CA_2004-07-02_WN02
W115	W115_USA_CA_2004-07-09_WN02
KX547605	KX547605_USA_NY_2004-07-11_WN02
HM488142	HM488142_USA_CT_2004-07-12_WN02
KR348979	KR348979_USA_CA_2004-07-13_SW03
KX547577	KX547577_USA_NY_2004-07-14_WN02
KX547499	KX547499_USA_NY_2004-07-14_WN02
KX547423	KX547423_USA_NY_2004-07-16_WN02
DQ431709	DQ431709_USA_CA_2004-07-16_WN02
DQ431708	DQ431708_USA_CA_2004-07-16_WN02
W116	W116_USA_CA_2004-07-23_WN02
W628	W628_USA_CA_2004-07-23_WN02
W629	W629_USA_CA_2004-07-23_WN02
GQ507473	GQ507473_USA_CA_2004-07-24_WN02
KX547317	KX547317_USA_NY_2004-07-27_WN02
KX547415	KX547415_USA_NY_2004-07-28_WN02
KX547197	KX547197_USA_NY_2004-07-29_SW03
KX547489	KX547489_USA_NY_2004-07-29_WN02
KJ501522	KJ501522_USA_NC_2004-07-30_SW03
DQ431710	DQ431710_USA_CA_2004-07-31_WN02
DQ431712	DQ431712_USA_AZ_2004-08-01_SW03
DQ431711	DQ431711_USA_AZ_2004-08-01_SW03
DQ431707	DQ431707_USA_NM_2004-08-01_SW03
DQ431706	DQ431706_USA_NM_2004-08-01_SW03
DQ431704	DQ431704_USA_CO_2004-08-01_SW03
DQ431703	DQ431703_USA_CO_2004-08-01_SW03
DQ431702	DQ431702_USA_CO_2004-08-01_SW03
DQ164201	DQ164201_USA_AZ_2004-08-01_SW03
DQ666448	DQ666448_USA_AZ_2004-08-01_SW03
HM488191	HM488191_USA_IL_2004-08-01_SW03
DQ080060	DQ080060_Mexico_BajaCalifornia_2004-08-01_WN02
DQ431705	DQ431705_USA_ND_2004-08-01_WN02
DQ431701	DQ431701_USA_CO_2004-08-01_WN02
DQ431700	DQ431700_USA_CA_2004-08-01_WN02
DQ164206	DQ164206_USA_TX_2004-08-01_WN02
DQ080061	DQ080061_USA_LA_2004-08-01_WN02
HM488188	HM488188_USA_IL_2004-08-01_WN02
HM488189	HM488189_USA_IL_2004-08-01_WN02
HM488190	HM488190_USA_IL_2004-08-01_WN02
HM756671	HM756671_USA_NY_2004-08-01_WN02
HM756672	HM756672_USA_NY_2004-08-01_WN02
HM756673	HM756673_USA_NY_2004-08-01_WN02
JF488086	JF488086_USA_CT_2004-08-01_WN02
JF488087	JF488087_USA_CT_2004-08-01_WN02
JF488088	JF488088_USA_CT_2004-08-01_WN02
JF488089	JF488089_USA_CT_2004-08-01_WN02
JF488090	JF488090_USA_CT_2004-08-01_WN02
JF488091	JF488091_USA_CT_2004-08-01_WN02
JF488092	JF488092_USA_CT_2004-08-01_WN02
JF488094	JF488094_USA_NY_2004-08-01_WN02
JF899528	JF899528_USA_NY_2004-08-01_WN02
JN367277	JN367277_USA_NY_2004-08-01_WN02
MH166884	MH166884_USA_VA_2004-08-01_WN02
MH166913	MH166913_USA_VA_2004-08-01_WN02
MH166917	MH166917_USA_VA_2004-08-01_WN02
MH166919	MH166919_USA_VA_2004-08-01_WN02
MH170227	MH170227_USA_CO_2004-08-01_WN02
MH170233	MH170233_USA_CO_2004-08-01_WN02
MH170246	MH170246_USA_CO_2004-08-01_WN02
MH170248	MH170248_USA_CO_2004-08-01_WN02
MH170265	MH170265_USA_GA_2004-08-01_WN02
MH170270	MH170270_USA_GA_2004-08-01_WN02
KX547454	KX547454_USA_NY_2004-08-03_WN02
KX547313	KX547313_USA_NY_2004-08-03_WN02
KX547298	KX547298_USA_NY_2004-08-03_WN02
KX547351	KX547351_USA_NY_2004-08-04_WN02
KX547302	KX547302_USA_NY_2004-08-04_WN02
KJ501385	KJ501385_USA_MT_2004-08-05_SW03
W252	W252_USA_CA_2004-08-05_SW03
W344	W344_USA_CA_2004-08-05_SW03
W345	W345_USA_CA_2004-08-05_SW03
W346	W346_USA_CA_2004-08-05_SW03
KJ501419	KJ501419_USA_SD_2004-08-06_SW03
KJ501420	KJ501420_USA_SD_2004-08-06_SW03
W630	W630_USA_CA_2004-08-06_WN02
KJ501421	KJ501421_USA_SD_2004-08-06_WN02
KJ501422	KJ501422_USA_SD_2004-08-06_WN02
KJ501423	KJ501423_USA_SD_2004-08-06_WN02
KJ501525	KJ501525_USA_SD_2004-08-06_WN02
HM488143	HM488143_USA_CT_2004-08-09_WN02
W347	W347_USA_CA_2004-08-10_SW03
KX547610	KX547610_USA_NY_2004-08-10_WN02
KX547477	KX547477_USA_NY_2004-08-10_WN02
KX547256	KX547256_USA_NY_2004-08-10_WN02
KR348996	KR348996_USA_CA_2004-08-10_WN02
W348	W348_USA_CA_2004-08-11_SW03
W349	W349_USA_CA_2004-08-11_SW03
W350	W350_USA_CA_2004-08-11_SW03
KX547345	KX547345_USA_NY_2004-08-11_WN02
W253	W253_USA_CA_2004-08-11_WN02
W631	W631_USA_CA_2004-08-11_WN02
W351	W351_USA_CA_2004-08-12_SW03
W352	W352_USA_CA_2004-08-12_SW03
W353	W353_USA_CA_2004-08-12_SW03
KX547237	KX547237_USA_NY_2004-08-12_WN02
W785	W785_USA_CA_2004-08-12_WN02
W354	W354_USA_CA_2004-08-13_SW03
W355	W355_USA_CA_2004-08-13_SW03
W632	W632_USA_CA_2004-08-13_SW03
KR349016	KR349016_USA_CA_2004-08-13_WN02
KR349023	KR349023_USA_CA_2004-08-13_WN02
KX547264	KX547264_USA_NY_2004-08-16_SW03
KR348948	KR348948_USA_CA_2004-08-16_SW03
KJ501128	KJ501128_USA_CA_2004-08-16_SW03
KX547285	KX547285_USA_NY_2004-08-16_WN02
HM488144	HM488144_USA_CT_2004-08-17_WN02
W254	W254_USA_CA_2004-08-17_WN02
W255	W255_USA_CA_2004-08-23_WN02
KR348949	KR348949_USA_CA_2004-08-24_WN02
KJ501129	KJ501129_USA_CA_2004-08-24_WN02
W786	W786_USA_CA_2004-08-26_WN02
KX547588	KX547588_USA_NY_2004-08-27_WN02
GQ507474	GQ507474_USA_CA_2004-08-27_WN02
KX547390	KX547390_USA_NY_2004-08-29_WN02
KX547232	KX547232_USA_NY_2004-08-30_WN02
HM488146	HM488146_USA_CT_2004-08-30_WN02
HM488145	HM488145_USA_CT_2004-08-30_WN02
W784	W784_USA_CA_2004-08-30_WN02
KX547591	KX547591_USA_NY_2004-09-02_WN02
KX547304	KX547304_USA_NY_2004-09-02_WN02
W175	W175_USA_CA_2004-09-02_WN02
KX547275	KX547275_USA_NY_2004-09-03_WN02
KX547282	KX547282_USA_NY_2004-09-07_SW03
W783	W783_USA_CA_2004-09-07_WN02
W256	W256_USA_CA_2004-09-08_SW03
KX547590	KX547590_USA_NY_2004-09-09_WN02
KX547501	KX547501_USA_NY_2004-09-10_WN02
KX547408	KX547408_USA_NY_2004-09-13_WN02
HM488147	HM488147_USA_CT_2004-09-13_WN02
KX547597	KX547597_USA_NY_2004-09-14_SW03
KX547249	KX547249_USA_NY_2004-09-15_WN02
W633	W633_USA_CA_2004-09-17_SW03
KX547493	KX547493_USA_NY_2004-09-19_WN02
W356	W356_USA_CA_2004-09-21_WN02
W357	W357_USA_CA_2004-09-23_SW03
KX547277	KX547277_USA_NY_2004-09-23_WN02
KX547202	KX547202_USA_NY_2004-09-26_WN02
KX547379	KX547379_USA_NY_2004-09-28_WN02
KX547534	KX547534_USA_NY_2004-09-29_SW03
KX547621	KX547621_USA_NY_2004-09-29_WN02
KJ501398	KJ501398_USA_CA_2004-09-30_SW03
KX547308	KX547308_USA_NY_2004-09-30_WN02
KX547487	KX547487_USA_NY_2004-10-04_WN02
HM488148	HM488148_USA_CT_2004-10-04_WN02
W634	W634_USA_CA_2004-10-08_WN02
KJ501413	KJ501413_USA_NC_2004-10-15_SW03
KJ501402	KJ501402_USA_MN_2004-10-15_WN02
KJ501520	KJ501520_USA_MN_2004-10-15_WN02
KR349015	KR349015_USA_CA_2004-11-08_WN02
KX547341	KX547341_USA_NY_2005-01-31_WN02
KX547347	KX547347_USA_NY_2005-05-25_SW03
KR348935	KR348935_USA_CA_2005-05-29_WN02
KJ501115	KJ501115_USA_CA_2005-05-29_WN02
W177	W177_USA_CA_2005-06-13_WN02
W257	W257_USA_CA_2005-06-16_SW03
KR348939	KR348939_USA_CA_2005-06-19_WN02
KJ501119	KJ501119_USA_CA_2005-06-19_WN02
W358	W358_USA_CA_2005-06-21_SW03
W178	W178_USA_CA_2005-06-21_WN02
W787	W787_USA_CA_2005-06-21_WN02
W258	W258_USA_CA_2005-06-24_SW03
GQ507475	GQ507475_USA_CA_2005-06-27_WN02
JX015515	JX015515_USA_TX_2005-06-28_SW03
KR348997	KR348997_USA_CA_2005-06-29_WN02
W260	W260_USA_CA_2005-06-30_SW03
W359	W359_USA_CA_2005-07-01_SW03
W360	W360_USA_CA_2005-07-01_SW03
W361	W361_USA_CA_2005-07-01_SW03
W362	W362_USA_CA_2005-07-06_SW03
W363	W363_USA_CA_2005-07-06_SW03
KX547614	KX547614_USA_NY_2005-07-06_WN02
W788	W788_USA_CA_2005-07-06_WN02
W261	W261_USA_CA_2005-07-10_SW03
W635	W635_USA_CA_2005-07-12_WN02
W262	W262_USA_CA_2005-07-13_SW03
W365	W365_USA_CA_2005-07-14_SW03
W366	W366_USA_CA_2005-07-14_SW03
W367	W367_USA_CA_2005-07-14_SW03
W263	W263_USA_CA_2005-07-15_SW03
KR349008	KR349008_USA_CA_2005-07-15_WN02
KR349009	KR349009_USA_CA_2005-07-15_WN02
KR349007	KR349007_USA_CA_2005-07-15_WN02
KX547523	KX547523_USA_NY_2005-07-16_WN02
KR348999	KR348999_USA_CA_2005-07-18_WN02
W368	W368_USA_CA_2005-07-19_SW03
KX547262	KX547262_USA_NY_2005-07-20_WN02
KX547199	KX547199_USA_NY_2005-07-20_WN02
KX547377	KX547377_USA_NY_2005-07-21_WN02
W789	W789_USA_CA_2005-07-21_WN02
W790	W790_USA_CA_2005-07-21_WN02
W794	W794_USA_CA_2005-07-24_WN02
W795	W795_USA_CA_2005-07-25_WN02
W264	W264_USA_CA_2005-07-26_SW03
KR349010	KR349010_USA_CA_2005-07-26_WN02
KJ501186	KJ501186_USA_CA_2005-07-26_WN02
KX547303	KX547303_USA_NY_2005-07-27_WN02
GQ507476	GQ507476_USA_CA_2005-07-27_WN02
W265	W265_USA_CA_2005-07-28_SW03
KJ501404	KJ501404_USA_MN_2005-07-28_SW03
W796	W796_USA_CA_2005-07-28_WN02
KR349011	KR349011_USA_CA_2005-07-28_WN02
KR349012	KR349012_USA_CA_2005-07-28_WN02
W637	W637_USA_CA_2005-07-30_WN02
JF415914	JF415914_USA_TX_2005-08-01_SW03
DQ666452	DQ666452_USA_SD_2005-08-01_SW03
DQ666451	DQ666451_USA_AZ_2005-08-01_SW03
DQ666449	DQ666449_USA_TX_2005-08-01_SW03
W266	W266_USA_CA_2005-08-01_SW03
HM488198	HM488198_USA_IL_2005-08-01_SW03
HM756675	HM756675_USA_NY_2005-08-01_SW03
HM756677	HM756677_USA_NM_2005-08-01_SW03
KJ501341	KJ501341_USA_CA_2005-08-01_WN02
KX547532	KX547532_USA_NY_2005-08-01_WN02
GQ507477	GQ507477_USA_CA_2005-08-01_WN02
HM488149	HM488149_USA_CT_2005-08-01_WN02
JF415929	JF415929_USA_TX_2005-08-01_WN02
DQ666450	DQ666450_USA_TX_2005-08-01_WN02
W791	W791_USA_CA_2005-08-01_WN02
HM488192	HM488192_USA_IL_2005-08-01_WN02
HM488193	HM488193_USA_IL_2005-08-01_WN02
HM488194	HM488194_USA_IL_2005-08-01_WN02
HM488195	HM488195_USA_IL_2005-08-01_WN02
HM488196	HM488196_USA_IL_2005-08-01_WN02
HM488197	HM488197_USA_IL_2005-08-01_WN02
HQ671724	HQ671724_USA_NY_2005-08-01_WN02
HQ671725	HQ671725_USA_NY_2005-08-01_WN02
HQ671726	HQ671726_USA_NY_2005-08-01_WN02
JF488093	JF488093_USA_CT_2005-08-01_WN02
JF899529	JF899529_USA_NY_2005-08-01_WN02
JN183892	JN183892_USA_IL_2005-08-01_WN02
MH166888	MH166888_USA_VA_2005-08-01_WN02
MH166895	MH166895_USA_VA_2005-08-01_WN02
MH166908	MH166908_USA_VA_2005-08-01_WN02
MH170257	MH170257_USA_GA_2005-08-01_WN02
MH170269	MH170269_USA_GA_2005-08-01_WN02
KX547413	KX547413_USA_NY_2005-08-02_WN02
GQ507468	GQ507468_USA_TX_2005-08-03_SW03
W792	W792_USA_CA_2005-08-03_WN02
W793	W793_USA_CA_2005-08-03_WN02
W120	W120_USA_CA_2005-08-04_WN02
W638	W638_USA_CA_2005-08-05_WN02
KX547461	KX547461_USA_NY_2005-08-08_WN02
KX547332	KX547332_USA_NY_2005-08-08_WN02
W267	W267_USA_CA_2005-08-09_SW03
KJ501403	KJ501403_USA_MN_2005-08-09_WN02
KX547366	KX547366_USA_NY_2005-08-10_WN02
KX547596	KX547596_USA_NY_2005-08-11_WN02
KX547259	KX547259_USA_NY_2005-08-11_WN02
KJ501492	KJ501492_USA_WI_2005-08-12_NY99
KJ501471	KJ501471_USA_AZ_2005-08-12_SW03
KX547307	KX547307_USA_NY_2005-08-15_WN02
W268	W268_USA_CA_2005-08-15_WN02
KX547441	KX547441_USA_NY_2005-08-16_WN02
HM488154	HM488154_USA_CT_2005-08-16_WN02
HM488153	HM488153_USA_CT_2005-08-16_WN02
HM488152	HM488152_USA_CT_2005-08-16_WN02
KX547521	KX547521_USA_NY_2005-08-18_WN02
KJ501335	KJ501335_USA_WI_2005-08-19_SW03
W269	W269_USA_CA_2005-08-19_SW03
KX547205	KX547205_USA_NY_2005-08-19_WN02
W639	W639_USA_CA_2005-08-20_SW03
KX547512	KX547512_USA_NY_2005-08-22_WN02
HM488117	HM488117_USA_CT_2005-08-22_WN02
HM488116	HM488116_USA_CT_2005-08-22_WN02
HM488115	HM488115_USA_CT_2005-08-22_WN02
KR348995	KR348995_USA_CA_2005-08-23_WN02
KR348994	KR348994_USA_CA_2005-08-24_WN02
KJ501330	KJ501330_USA_ND_2005-08-25_WN02
KJ501414	KJ501414_USA_NC_2005-08-25_WN02
GQ507478	GQ507478_USA_CA_2005-08-26_WN02
W270	W270_USA_CA_2005-08-29_SW03
HM488118	HM488118_USA_CT_2005-08-29_WN02
KJ145799	KJ145799_USA_CT_2005-08-29_WN02
KX547397	KX547397_USA_NY_2005-08-30_WN02
KX547370	KX547370_USA_NY_2005-08-30_WN02
KX547173	KX547173_USA_NY_2005-08-31_SW03
KX547362	KX547362_USA_NY_2005-08-31_WN02
GQ507469	GQ507469_USA_NM_2005-09-01_SW03
W271	W271_USA_CA_2005-09-01_SW03
KJ501461	KJ501461_USA_MT_2005-09-01_WN02
KX547481	KX547481_USA_NY_2005-09-01_WN02
KX547570	KX547570_USA_NY_2005-09-02_WN02
KJ501487	KJ501487_USA_NC_2005-09-02_WN02
KX547508	KX547508_USA_NY_2005-09-05_WN02
HM488151	HM488151_USA_CT_2005-09-06_WN02
HM488150	HM488150_USA_CT_2005-09-06_WN02
HM488120	HM488120_USA_CT_2005-09-06_WN02
HM488119	HM488119_USA_CT_2005-09-06_WN02
W640	W640_USA_CA_2005-09-07_SW03
KJ501267	KJ501267_USA_NV_2005-09-07_WN02
KX547479	KX547479_USA_NY_2005-09-07_WN02
KX547321	KX547321_USA_NY_2005-09-07_WN02
GQ507479	GQ507479_USA_AZ_2005-09-09_SW03
KX547338	KX547338_USA_NY_2005-09-09_WN02
KX547165	KX547165_USA_NY_2005-09-10_WN02
KX547360	KX547360_USA_NY_2005-09-11_WN02
KX547571	KX547571_USA_NY_2005-09-13_WN02
KX547486	KX547486_USA_NY_2005-09-13_WN02
KX547355	KX547355_USA_NY_2005-09-13_WN02
KX547513	KX547513_USA_NY_2005-09-14_WN02
KJ501342	KJ501342_USA_CA_2005-09-15_WN02
KX547396	KX547396_USA_NY_2005-09-16_WN02
KX547223	KX547223_USA_NY_2005-09-16_WN02
KX547560	KX547560_USA_NY_2005-09-17_WN02
KX547471	KX547471_USA_NY_2005-09-21_WN02
HM488121	HM488121_USA_CT_2005-09-25_WN02
KX547599	KX547599_USA_NY_2005-09-29_WN02
KX547217	KX547217_USA_NY_2005-09-29_WN02
KX547530	KX547530_USA_NY_2005-09-30_WN02
GQ507480	GQ507480_USA_CA_2005-10-04_SW03
KX547289	KX547289_USA_NY_2005-10-05_WN02
KX547193	KX547193_USA_NY_2005-10-07_WN02
KX547578	KX547578_USA_NY_2005-10-18_WN02
JF703163	JF703163_USA_CA_2005-11-08_SW03
W799	W799_USA_CA_2006-06-21_WN02
W801	W801_USA_CA_2006-07-04_WN02
W370	W370_USA_CA_2006-07-11_SW03
W371	W371_USA_CA_2006-07-11_SW03
W369	W369_USA_CA_2006-07-11_WN02
W372	W372_USA_CA_2006-07-11_WN02
KX547258	KX547258_USA_NY_2006-07-12_WN02
W272	W272_USA_CA_2006-07-13_SW03
W373	W373_USA_CA_2006-07-14_SW03
KJ501526	KJ501526_USA_SD_2006-07-17_SW03
KJ501485	KJ501485_USA_NV_2006-07-18_SW03
KJ501521	KJ501521_USA_NV_2006-07-18_SW03
KJ501405	KJ501405_USA_MN_2006-07-19_WN02
W273	W273_USA_CA_2006-07-21_SW03
W374	W374_USA_CA_2006-07-21_SW03
W376	W376_USA_CA_2006-07-21_SW03
W377	W377_USA_CA_2006-07-21_SW03
W378	W378_USA_CA_2006-07-21_SW03
W379	W379_USA_CA_2006-07-21_SW03
W375	W375_USA_CA_2006-07-21_SW03
KX547367	KX547367_USA_NY_2006-07-21_WN02
W642	W642_USA_CA_2006-07-21_WN02
KJ501523	KJ501523_USA_NC_2006-07-25_WN02
KJ501415	KJ501415_USA_NC_2006-07-26_SW03
KX547615	KX547615_USA_NY_2006-07-26_WN02
W643	W643_USA_CA_2006-07-26_WN02
W644	W644_USA_CA_2006-07-26_WN02
W645	W645_USA_CA_2006-07-26_WN02
KJ501417	KJ501417_USA_NC_2006-07-26_WN02
KX547385	KX547385_USA_NY_2006-07-27_WN02
KJ501406	KJ501406_USA_MN_2006-07-27_WN02
KJ501407	KJ501407_USA_MN_2006-07-27_WN02
KJ501408	KJ501408_USA_MN_2006-07-27_WN02
KJ501409	KJ501409_USA_MN_2006-07-28_SW03
KX547420	KX547420_USA_NY_2006-07-28_WN02
KX547350	KX547350_USA_NY_2006-07-28_WN02
KX547273	KX547273_USA_NY_2006-07-31_SW03
W274	W274_USA_CA_2006-07-31_SW03
HM488158	HM488158_USA_CT_2006-07-31_WN02
W275	W275_USA_CA_2006-08-01_SW03
JF957161	JF957161_USA_ID_2006-08-01_SW03
JF957162	JF957162_USA_ID_2006-08-01_SW03
JF957163	JF957163_USA_ID_2006-08-01_SW03
JF957164	JF957164_USA_ID_2006-08-01_SW03
JF957165	JF957165_USA_ID_2006-08-01_SW03
JF957166	JF957166_USA_UT_2006-08-01_SW03
JF957167	JF957167_USA_NC_2006-08-01_SW03
MH170232	MH170232_USA_CO_2006-08-01_SW03
MH170235	MH170235_USA_CO_2006-08-01_SW03
MH170239	MH170239_USA_CO_2006-08-01_SW03
KX547394	KX547394_USA_NY_2006-08-01_WN02
JF415930	JF415930_USA_TX_2006-08-01_WN02
JF415916	JF415916_USA_TX_2006-08-01_WN02
JF415915	JF415915_USA_TX_2006-08-01_WN02
W646	W646_USA_CA_2006-08-01_WN02
HM488122	HM488122_USA_CT_2006-08-01_WN02
HM488123	HM488123_USA_CT_2006-08-01_WN02
HM488124	HM488124_USA_CT_2006-08-01_WN02
HM488253	HM488253_USA_IL_2006-08-01_WN02
HQ671727	HQ671727_USA_NY_2006-08-01_WN02
HQ671728	HQ671728_USA_NY_2006-08-01_WN02
HQ671729	HQ671729_USA_NY_2006-08-01_WN02
JF920729	JF920729_USA_CT_2006-08-01_WN02
JF920730	JF920730_USA_CT_2006-08-01_WN02
JF920731	JF920731_USA_CT_2006-08-01_WN02
JF920732	JF920732_USA_CT_2006-08-01_WN02
JF920733	JF920733_USA_CT_2006-08-01_WN02
JF920734	JF920734_USA_CT_2006-08-01_WN02
JF920735	JF920735_USA_CT_2006-08-01_WN02
JF920736	JF920736_USA_CT_2006-08-01_WN02
JF920737	JF920737_USA_CT_2006-08-01_WN02
JN183888	JN183888_USA_NY_2006-08-01_WN02
MH166889	MH166889_USA_VA_2006-08-01_WN02
MH166890	MH166890_USA_VA_2006-08-01_WN02
MH166907	MH166907_USA_VA_2006-08-01_WN02
MH166910	MH166910_USA_VA_2006-08-01_WN02
MH170229	MH170229_USA_CO_2006-08-01_WN02
MH170236	MH170236_USA_CO_2006-08-01_WN02
MH170243	MH170243_USA_CO_2006-08-01_WN02
MH170249	MH170249_USA_CO_2006-08-01_WN02
W276	W276_USA_CA_2006-08-02_SW03
W277	W277_USA_CA_2006-08-03_SW03
KX547587	KX547587_USA_NY_2006-08-03_WN02
KX547250	KX547250_USA_NY_2006-08-03_WN02
W380	W380_USA_CA_2006-08-04_SW03
W381	W381_USA_CA_2006-08-04_SW03
W382	W382_USA_CA_2006-08-04_SW03
W383	W383_USA_CA_2006-08-04_SW03
W180	W180_USA_CA_2006-08-05_SW03
KX547475	KX547475_USA_NY_2006-08-06_WN02
W179	W179_USA_CA_2006-08-07_SW03
KX547384	KX547384_USA_NY_2006-08-07_WN02
W278	W278_USA_CA_2006-08-09_SW03
KX547569	KX547569_USA_NY_2006-08-09_WN02
KX547563	KX547563_USA_NY_2006-08-09_WN02
KX547268	KX547268_USA_NY_2006-08-09_WN02
KX547432	KX547432_USA_NY_2006-08-10_WN02
KX547342	KX547342_USA_NY_2006-08-10_WN02
KX547260	KX547260_USA_NY_2006-08-10_WN02
W647	W647_USA_CA_2006-08-10_WN02
KX547271	KX547271_USA_NY_2006-08-12_WN02
W279	W279_USA_CA_2006-08-14_SW03
KX547359	KX547359_USA_NY_2006-08-14_WN02
HM488159	HM488159_USA_CT_2006-08-14_WN02
KJ501428	KJ501428_USA_WI_2006-08-15_SW03
KJ501429	KJ501429_USA_WI_2006-08-16_SW03
KJ501430	KJ501430_USA_WI_2006-08-16_SW03
KJ501431	KJ501431_USA_WI_2006-08-16_SW03
KJ501529	KJ501529_USA_WI_2006-08-16_SW03
W281	W281_USA_CA_2006-08-17_SW03
KX547431	KX547431_USA_NY_2006-08-17_WN02
KJ501410	KJ501410_USA_MN_2006-08-17_WN02
KX547435	KX547435_USA_NY_2006-08-18_SW03
KX547318	KX547318_USA_NY_2006-08-19_SW03
KX547511	KX547511_USA_NY_2006-08-21_WN02
KX547451	KX547451_USA_NY_2006-08-22_SW03
KX547387	KX547387_USA_NY_2006-08-22_SW03
