HM488141	Armstrong et al	Virology 417 (1), 203-210 (2011)	Molecular evolution of West Nile virus in a northern temperate region: Connecticut, USA 1999-2008	https://www.ncbi.nlm.nih.gov/pubmed/21723580
KJ501379	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501379
DQ164192	Davis et al	Virology 342 (2), 252-265 (2005)	Phylogenetic analysis of North American West Nile virus isolates, 2001-2004: evidence for the emergence of a dominant genotype	https://www.ncbi.nlm.nih.gov/pubmed/16137736
KJ501376	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501376
KC333381	Mann et al	Emerging Infect. Dis. 19 (9), 1418-1427 (2013)	Continued evolution of West Nile virus, Houston, Texas, USA, 2002-2012	https://www.ncbi.nlm.nih.gov/pubmed/23965756
MF175863	Aroh et al	Unpublished	2012 West Nile Virus differ in frequency of introductions into Texas and ability to overwinter, 2012-2015	https://www.ncbi.nlm.nih.gov/nuccore/MF175863
AY712948	Davis et al	Virology 330 (1), 342-350 (2004)	Emergence of attenuated West Nile virus variants in Texas, 2003	https://www.ncbi.nlm.nih.gov/pubmed/15527859
DQ164195	Davis et al	Virology 342 (2), 252-265 (2005)	Phylogenetic analysis of North American West Nile virus isolates, 2001-2004: evidence for the emergence of a dominant genotype	https://www.ncbi.nlm.nih.gov/pubmed/16137736
KR348984	Duggal et al	Virology 485, 79-85 (2015)	Genotype-specific variation in West Nile virus dispersal in California	https://www.ncbi.nlm.nih.gov/pubmed/26210076
KJ501332	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501332
KJ501392	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501392
KX547431	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547431
KM012177	Grinev et al	PLoS Negl Trop Dis 10 (5), E0004717 (2016)	Genetic Variability of West Nile Virus in U.S. Blood Donors from the 2012 Epidemic Season	https://www.ncbi.nlm.nih.gov/pubmed/27182734
HQ671705	Henn et al	Submitted (29-OCT-2010) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/HQ671705
KJ501454	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501454
KX547397	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547397
KJ501318	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501318
DQ431708	Herring et al	Virology 363 (1), 220-228 (2007)	Phylogenetic analysis of WNV in North American blood donors during the 2003-2004 epidemic seasons	https://www.ncbi.nlm.nih.gov/pubmed/17321561
KJ501133	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501133
HM488131	Armstrong et al	Virology 417 (1), 203-210 (2011)	Molecular evolution of West Nile virus in a northern temperate region: Connecticut, USA 1999-2008	https://www.ncbi.nlm.nih.gov/pubmed/21723580
KX547221	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547221
KX547168	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547168
JF488090	Henn et al	Submitted (24-FEB-2011) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/JF488090
KX547262	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547262
KX547291	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547291
HM488129	Armstrong et al	Virology 417 (1), 203-210 (2011)	Molecular evolution of West Nile virus in a northern temperate region: Connecticut, USA 1999-2008	https://www.ncbi.nlm.nih.gov/pubmed/21723580
DQ431699	Herring et al	Virology 363 (1), 220-228 (2007)	Phylogenetic analysis of WNV in North American blood donors during the 2003-2004 epidemic seasons	https://www.ncbi.nlm.nih.gov/pubmed/17321561
KX547424	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547424
KX547240	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547240
KX547592	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547592
JN183890	Henn et al	Submitted (23-JUN-2011) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/JN183890
KX547383	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547383
KX547493	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547493
MH166882	Swetnam et al	Emerging Infect. Dis. 24 (12) (2018) In press	Terrestrial Bird Migration and West Nile Virus Circulation, United States	https://www.ncbi.nlm.nih.gov/nuccore/MH166882
KJ501342	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501342
KX547451	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547451
HM488245	Henn et al	Submitted (04-JUN-2010) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/HM488245
KX547410	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547410
KX547442	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547442
KX547591	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547591
JN183885	Henn et al	Submitted (23-JUN-2011) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/JN183885
KR348997	Duggal et al	Virology 485, 79-85 (2015)	Genotype-specific variation in West Nile virus dispersal in California	https://www.ncbi.nlm.nih.gov/pubmed/26210076
DQ080055	Deardorff et al	Emerging Infect. Dis. 12 (2), 314-318 (2006)	Introductions of West Nile virus strains to Mexico	https://www.ncbi.nlm.nih.gov/pubmed/16494762
MH166918	Swetnam et al	Emerging Infect. Dis. 24 (12) (2018) In press	Terrestrial Bird Migration and West Nile Virus Circulation, United States	https://www.ncbi.nlm.nih.gov/nuccore/MH166918
MH170268	Swetnam et al	Emerging Infect. Dis. 24 (12) (2018) In press	Terrestrial Bird Migration and West Nile Virus Circulation, United States	https://www.ncbi.nlm.nih.gov/nuccore/MH170268
KX547342	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547342
KX547336	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547336
JQ700440	Anez et al	PLoS Negl Trop Dis 7 (5), E2245 (2013)	Evolutionary dynamics of west nile virus in the United States, 1999-2011: phylogeny, selection pressure and evolutionary time-scale analysis	https://www.ncbi.nlm.nih.gov/pubmed/23738027
HM488247	Henn et al	Submitted (04-JUN-2010) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/HM488247
KJ501470	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501470
KR348962	Duggal et al	Virology 485, 79-85 (2015)	Genotype-specific variation in West Nile virus dispersal in California	https://www.ncbi.nlm.nih.gov/pubmed/26210076
KC333378	Mann et al	Emerging Infect. Dis. 19 (9), 1418-1427 (2013)	Continued evolution of West Nile virus, Houston, Texas, USA, 2002-2012	https://www.ncbi.nlm.nih.gov/pubmed/23965756
DQ666449	Grinev et al	Unpublished	Genetic variability of West Nile virus (WNV) in blood donor populations during four consecutive epidemics (2002 to 2005) in the USA	https://www.ncbi.nlm.nih.gov/nuccore/DQ666449
KX547297	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547297
JF920749	Henn et al	Submitted (06-MAY-2011) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/JF920749
AF404753	Lanciotti et al	Virology 298 (1), 96-105 (2002)	Complete genome sequences and phylogenetic analysis of West Nile virus strains isolated from the United States, Europe, and the Middle East	https://www.ncbi.nlm.nih.gov/pubmed/12093177
JF957168	Anez et al	PLoS Negl Trop Dis 7 (5), E2245 (2013)	Evolutionary dynamics of west nile virus in the United States, 1999-2011: phylogeny, selection pressure and evolutionary time-scale analysis	https://www.ncbi.nlm.nih.gov/pubmed/23738027
KJ501301	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501301
MH170270	Swetnam et al	Emerging Infect. Dis. 24 (12) (2018) In press	Terrestrial Bird Migration and West Nile Virus Circulation, United States	https://www.ncbi.nlm.nih.gov/nuccore/MH170270
HM488157	Armstrong et al	Virology 417 (1), 203-210 (2011)	Molecular evolution of West Nile virus in a northern temperate region: Connecticut, USA 1999-2008	https://www.ncbi.nlm.nih.gov/pubmed/21723580
JF957172	Anez et al	PLoS Negl Trop Dis 7 (5), E2245 (2013)	Evolutionary dynamics of west nile virus in the United States, 1999-2011: phylogeny, selection pressure and evolutionary time-scale analysis	https://www.ncbi.nlm.nih.gov/pubmed/23738027
JF488089	Henn et al	Submitted (24-FEB-2011) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/JF488089
KM012184	Grinev et al	PLoS Negl Trop Dis 10 (5), E0004717 (2016)	Genetic Variability of West Nile Virus in U.S. Blood Donors from the 2012 Epidemic Season	https://www.ncbi.nlm.nih.gov/pubmed/27182734
KX547473	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547473
KJ501327	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501327
KX547613	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547613
KJ501365	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501365
MH170233	Swetnam et al	Emerging Infect. Dis. 24 (12) (2018) In press	Terrestrial Bird Migration and West Nile Virus Circulation, United States	https://www.ncbi.nlm.nih.gov/nuccore/MH170233
HQ671701	Henn et al	Submitted (29-OCT-2010) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/HQ671701
JF957173	Anez et al	PLoS Negl Trop Dis 7 (5), E2245 (2013)	Evolutionary dynamics of west nile virus in the United States, 1999-2011: phylogeny, selection pressure and evolutionary time-scale analysis	https://www.ncbi.nlm.nih.gov/pubmed/23738027
KR348926	Duggal et al	Virology 485, 79-85 (2015)	Genotype-specific variation in West Nile virus dispersal in California	https://www.ncbi.nlm.nih.gov/pubmed/26210076
HQ671702	Henn et al	Submitted (29-OCT-2010) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/HQ671702
KX547539	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547539
KR348990	Duggal et al	Virology 485, 79-85 (2015)	Genotype-specific variation in West Nile virus dispersal in California	https://www.ncbi.nlm.nih.gov/pubmed/26210076
KX547182	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547182
HM488173	Armstrong et al	Virology 417 (1), 203-210 (2011)	Molecular evolution of West Nile virus in a northern temperate region: Connecticut, USA 1999-2008	https://www.ncbi.nlm.nih.gov/pubmed/21723580
KJ501112	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501112
MF175830	Aroh et al	Unpublished	2012 West Nile Virus differ in frequency of introductions into Texas and ability to overwinter, 2012-2015	https://www.ncbi.nlm.nih.gov/nuccore/MF175830
JF920306	Henn et al	Submitted (29-APR-2011) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/JF920306
KT862843	Mann et al	Unpublished	Deep Insights into the West Nile Virus Genome-Natural Features of Viral Evolution	https://www.ncbi.nlm.nih.gov/nuccore/KT862843
HQ671711	Henn et al	Submitted (29-OCT-2010) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/HQ671711
KJ501424	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501424
GU827998	May et al	Virology 405 (1), 8-14 (2010)	Multiple pathways to the attenuation of West Nile virus in South-East Texas in 2003	https://www.ncbi.nlm.nih.gov/pubmed/20580395
MH166893	Swetnam et al	Emerging Infect. Dis. 24 (12) (2018) In press	Terrestrial Bird Migration and West Nile Virus Circulation, United States	https://www.ncbi.nlm.nih.gov/nuccore/MH166893
KR348937	Duggal et al	Virology 485, 79-85 (2015)	Genotype-specific variation in West Nile virus dispersal in California	https://www.ncbi.nlm.nih.gov/pubmed/26210076
KX547285	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547285
KR348954	Duggal et al	Virology 485, 79-85 (2015)	Genotype-specific variation in West Nile virus dispersal in California	https://www.ncbi.nlm.nih.gov/pubmed/26210076
KJ501201	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501201
KJ501362	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501362
GQ507473	Pybus et al	Proc. Natl. Acad. Sci. U.S.A. 109 (37), 15066-15071 (2012)	Unifying the spatial epidemiology and molecular evolution of emerging epidemics	https://www.ncbi.nlm.nih.gov/pubmed/22927414
KX547450	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547450
KJ501109	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501109
KX547294	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547294
HM488172	Armstrong et al	Virology 417 (1), 203-210 (2011)	Molecular evolution of West Nile virus in a northern temperate region: Connecticut, USA 1999-2008	https://www.ncbi.nlm.nih.gov/pubmed/21723580
KX547433	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547433
KJ501108	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501108
KJ501473	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501473
MH166890	Swetnam et al	Emerging Infect. Dis. 24 (12) (2018) In press	Terrestrial Bird Migration and West Nile Virus Circulation, United States	https://www.ncbi.nlm.nih.gov/nuccore/MH166890
HQ671716	Henn et al	Submitted (29-OCT-2010) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/HQ671716
HM488199	Henn et al	Submitted (12-MAY-2010) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/HM488199
DQ080071	Deardorff et al	Emerging Infect. Dis. 12 (2), 314-318 (2006)	Introductions of West Nile virus strains to Mexico	https://www.ncbi.nlm.nih.gov/pubmed/16494762
KX547585	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547585
KX547314	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547314
KJ501347	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501347
KR349001	Duggal et al	Virology 485, 79-85 (2015)	Genotype-specific variation in West Nile virus dispersal in California	https://www.ncbi.nlm.nih.gov/pubmed/26210076
JF957183	Anez et al	PLoS Negl Trop Dis 7 (5), E2245 (2013)	Evolutionary dynamics of west nile virus in the United States, 1999-2011: phylogeny, selection pressure and evolutionary time-scale analysis	https://www.ncbi.nlm.nih.gov/pubmed/23738027
DQ431709	Herring et al	Virology 363 (1), 220-228 (2007)	Phylogenetic analysis of WNV in North American blood donors during the 2003-2004 epidemic seasons	https://www.ncbi.nlm.nih.gov/pubmed/17321561
HQ671717	Henn et al	Submitted (29-OCT-2010) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/HQ671717
KX547405	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547405
DQ431707	Herring et al	Virology 363 (1), 220-228 (2007)	Phylogenetic analysis of WNV in North American blood donors during the 2003-2004 epidemic seasons	https://www.ncbi.nlm.nih.gov/pubmed/17321561
HM488211	Armstrong et al	Virology 417 (1), 203-210 (2011)	Molecular evolution of West Nile virus in a northern temperate region: Connecticut, USA 1999-2008	https://www.ncbi.nlm.nih.gov/pubmed/21723580
KJ501328	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501328
KX547447	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547447
JF488091	Henn et al	Submitted (24-FEB-2011) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/JF488091
KR348921	Duggal et al	Virology 485, 79-85 (2015)	Genotype-specific variation in West Nile virus dispersal in California	https://www.ncbi.nlm.nih.gov/pubmed/26210076
DQ080069	Deardorff et al	Emerging Infect. Dis. 12 (2), 314-318 (2006)	Introductions of West Nile virus strains to Mexico	https://www.ncbi.nlm.nih.gov/pubmed/16494762
HM488134	Armstrong et al	Virology 417 (1), 203-210 (2011)	Molecular evolution of West Nile virus in a northern temperate region: Connecticut, USA 1999-2008	https://www.ncbi.nlm.nih.gov/pubmed/21723580
KX547555	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547555
DQ080058	Deardorff et al	Emerging Infect. Dis. 12 (2), 314-318 (2006)	Introductions of West Nile virus strains to Mexico	https://www.ncbi.nlm.nih.gov/pubmed/16494762
MH166895	Swetnam et al	Emerging Infect. Dis. 24 (12) (2018) In press	Terrestrial Bird Migration and West Nile Virus Circulation, United States	https://www.ncbi.nlm.nih.gov/nuccore/MH166895
KJ501116	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501116
JN183888	Henn et al	Submitted (23-JUN-2011) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/JN183888
MF175832	Aroh et al	Unpublished	2012 West Nile Virus differ in frequency of introductions into Texas and ability to overwinter, 2012-2015	https://www.ncbi.nlm.nih.gov/nuccore/MF175832
KR349014	Duggal et al	Virology 485, 79-85 (2015)	Genotype-specific variation in West Nile virus dispersal in California	https://www.ncbi.nlm.nih.gov/pubmed/26210076
KX547497	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547497
DQ164194	Davis et al	Virology 342 (2), 252-265 (2005)	Phylogenetic analysis of North American West Nile virus isolates, 2001-2004: evidence for the emergence of a dominant genotype	https://www.ncbi.nlm.nih.gov/pubmed/16137736
KX547590	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547590
HM756660	Henn et al	Submitted (24-JUN-2010) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/HM756660
HM488133	Armstrong et al	Virology 417 (1), 203-210 (2011)	Molecular evolution of West Nile virus in a northern temperate region: Connecticut, USA 1999-2008	https://www.ncbi.nlm.nih.gov/pubmed/21723580
MH166897	Swetnam et al	Emerging Infect. Dis. 24 (12) (2018) In press	Terrestrial Bird Migration and West Nile Virus Circulation, United States	https://www.ncbi.nlm.nih.gov/nuccore/MH166897
KX547597	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547597
KR349012	Duggal et al	Virology 485, 79-85 (2015)	Genotype-specific variation in West Nile virus dispersal in California	https://www.ncbi.nlm.nih.gov/pubmed/26210076
HM488121	Armstrong et al	Virology 417 (1), 203-210 (2011)	Molecular evolution of West Nile virus in a northern temperate region: Connecticut, USA 1999-2008	https://www.ncbi.nlm.nih.gov/pubmed/21723580
KJ501420	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501420
KJ501305	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501305
KX547180	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547180
HQ671704	Henn et al	Submitted (29-OCT-2010) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/HQ671704
JQ700442	Anez et al	PLoS Negl Trop Dis 7 (5), E2245 (2013)	Evolutionary dynamics of west nile virus in the United States, 1999-2011: phylogeny, selection pressure and evolutionary time-scale analysis	https://www.ncbi.nlm.nih.gov/pubmed/23738027
KX547474	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547474
DQ431700	Herring et al	Virology 363 (1), 220-228 (2007)	Phylogenetic analysis of WNV in North American blood donors during the 2003-2004 epidemic seasons	https://www.ncbi.nlm.nih.gov/pubmed/17321561
